-----------------------------------------------------------------------
NEUTRAL-NEUTRAL and NEUTRAL-ION interactions
-----------------------------------------------------------------------
 Fit coefficients for the reduced collision integrals and ratios:
 -Q11IJ = pi *sigmaIJ**2 *omegastar11IJ, AstarIJ, BstarIJ and CstarIJ.
 Formula of the type:
 -Q11IJ = 1.D-20 *EXP( C1*lnT**3 +C2*lnT**2 +C3*lnT +C4 ) in m^2
 -AstarIJ  = EXP(C1*lnT**3 +C2*lnT**2 +C3*lnT +C4)
 -BstarIJ  = EXP(C1*lnT**3 +C2*lnT**2 +C3*lnT +C4)
 -CstarIJ  = EXP(C1*lnT**3 +C2*lnT**2 +C3*lnT +C4)

ATTENTION, the present data are: Q11IJ, Q22IJ, BstarIJ, 0.D0

  4.2270139e-002 -9.7162109e-001  7.1267916e+000 -1.3352870e+001
  2.6442790e-002 -6.1475227e-001  4.4989704e+000 -6.9037116e+000
 -2.5878190e-002  5.8833015e-001 -4.3857796e+000  1.0811234e+001
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.CO-NO.
  5.6117613e-002 -1.2736046e+000  9.2990986e+000 -1.8543691e+001
  3.7607404e-002 -8.5885878e-001  6.2571402e+000 -1.1113275e+001
 -2.9800114e-002  6.7344848e-001 -4.9997726e+000  1.2282911e+001
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.CO-O2.
-8.0896479e-003  1.7605708e-001 -1.4675202e+000  7.7816374e+000
-8.6697149e-003  1.8556377e-001 -1.4844429e+000  7.7722700e+000
-3.0722459e-003  7.2102755e-002 -5.3479643e-001  1.3417832e+000
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.CO2-CO2.
-1.3305518E-002  0.338623312    -3.0057290443    12.6592810781
-1.4590334E-002  0.37261406     -3.287949434403 13.49700355519
-3.3571646e-003  8.7572196e-002 -7.4912489e-001  2.1838067e+000
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.CO2-N2.
 -1.7218940e-002  3.7538056e-001 -2.9247173e+000  1.1511145e+001
 -2.7760050e-002  6.0907177e-001 -4.5993531e+000  1.5504930e+001
 -1.6009011e-002  3.6283730e-001 -2.6818565e+000  6.5510359e+000
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.CO2-NO.
 -2.2930660e-002  5.1095172e-001 -3.9648201e+000  1.4084612e+001
 -4.9601879e-002  1.1016081e+000 -8.2671658e+000  2.4504494e+001
 -3.8942018e-002  8.7220990e-001 -6.4435148e+000  1.5779898e+001
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.CO2-O2.
-1.3043254e-002  3.0443184e-001 -2.5410139e+000  1.0827670e+001
-1.7889037e-002  4.1380006e-001 -3.3244531e+000  1.2726172e+001
-4.5284032e-003  1.0958273e-001 -8.5894625e-001  2.2658976e+000
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.N2-N2.
-5.04358E-03    1.08079E-01   -9.98634E-01    6.80089E+00
-6.99424E-03    1.54912E-01   -1.33680E+00    7.66252E+00
-1.83418E-03    4.44907E-02   -3.35033E-01    8.97329E-01
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.N2-NO.
-4.44480E-03    1.04355E-01   -1.05628E+00    7.14403E+00
-6.15361E-03    1.46536E-01   -1.37211E+00    7.98835E+00
-1.57713E-03    4.04223E-02   -3.27192E-01    9.46802E-01
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.N2-O2.
-7.31941E-03    1.59426E-01   -1.37616E+00    7.66794E+00
-9.02697E-03    2.02408E-01   -1.69776E+00    8.52008E+00
-3.67074E-03    8.64713E-02   -6.43558E-01    1.63049E+00
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.NO-NO.
-6.57078E-03    1.49230E-01   -1.36580E+00    7.80744E+00
-8.25101E-03    1.92894E-01   -1.70482E+00    8.73353E+00
-3.70923E-03    8.86490E-02   -6.74730E-01    1.75099E+00
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.NO-O2.
-5.09515E-03    1.20912E-01   -1.18322E+00    7.38998E+00
-6.70708E-03    1.61363E-01   -1.49069E+00    8.22506E+00
-2.46650E-03    6.00487E-02   -4.66854E-01    1.26572E+00
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.O2-O2.
-9.67668E-03    2.12618E-01   -1.77047E+00    8.58808E+00
-1.08216E-02    2.44418E-01   -2.02069E+00    9.29763E+00
-6.06664E-03    1.42665E-01   -1.06789E+00    2.66780E+00
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.Arp-Ar. 
 1.00000E-03   -3.68000E-02    2.45000E-01    4.57020E+00
-6.04000E-03    1.49600E-01   -1.43850E+00    8.14830E+00
 0.00000E+00    0.00000E+00    0.00000E+00    1.93300E-01
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.Cp-C.
 -6.2054732E-005 -6.0714587E-004 -7.7485473E-002  5.34692764
 -1.3508854e-003  1.4319670e-002 -2.3216643e-001  4.3743452e+000
 2.0928722e-004 -2.6206833e-003  2.2699167e-002  1.7438789e-002
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.Np-N.
-1.93600E-03    5.15400E-02   -5.68400E-01    6.78500E+00
-2.33780E-02    5.37280E-01   -4.43190E+00    1.64097E+01
 0.00000E+00    7.20000E-04   -1.02000E-02    1.02300E-01
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.Op-O.
-1.95000E-03    5.28800E-02   -5.75700E-01    6.53480E+00
-2.68200E-03    3.70600E-02   -4.40200E-01    5.70790E+00
 0.00000E+00    2.60000E-03   -4.32000E-02    2.38600E-01
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.N2p-N2.
-5.51543E-05   -6.91995E-04   -6.81266E-02    5.50089E+00
 1.04583E-06   -3.00140E-05   -4.99784E-01    7.34193E+00
